Data file		PPS+45PTFE_60N_200RPM_30MINS_2.TSV
Configuration file		HARI.CFG
Calibration file		KIM_6KG_080419.CAL
Test control file		KIM_NEW2.TSF

test 2		PPS+45PTFE_60N_200RPM_30MINS_2
160210		
loriane-		
		
		
		
		
		

Test started at 18:47:01 on 2019-04-12
	Time	This Step	Step Time	Test Time	Sliding Velocity	Speed	Mass	Load	TOTAL REVOLUTIONS	Specimen Temp	Contact Potential	Radius	Distance	Friction Force	Friction Coefficient	Displacement	Friction Force	
	18:47:07	2	3600,	6,	0,000	0	6100	59,841	0	25,9	90,7	14	0,000	-0,3	-0,004507	3947	-0,3	
	18:47:08	2	3600,	7,	0,000	0	6100	59,841	0	25,6	90,7	14	0,000	1,1	0,018029	3943	1,1	
	18:47:09	2	3600,	8,	0,021	17	6100	59,841	4	25,9	90,7	14	0,352	5,4	0,090147	3937	5,4	
	18:47:10	2	3600,	9,	0,067	50	6100	59,841	6	25,9	90,7	14	0,528	8,9	0,148743	3934	8,9	
	18:47:11	2	3600,	10,	0,114	81	6100	59,841	9	25,9	90,7	14	0,792	9,4	0,157758	3934	9,4	
	18:47:12	2	3600,	11,	0,161	114	6100	59,841	11	25,9	90,7	14	0,968	9,7	0,162265	3935	9,7	
	18:47:13	2	3600,	12,	0,210	146	6100	59,841	14	25,9	90,7	14	1,232	9,7	0,162265	3934	9,7	
	18:47:14	2	3600,	13,	0,233	159	6100	59,841	17	25,9	90,7	14	1,495	9,4	0,157758	3932	9,4	
	18:47:15	2	3600,	14,	0,232	157	6100	59,841	19	25,9	90,7	14	1,671	9,2	0,153250	3932	9,2	
	18:47:16	2	3600,	15,	0,227	155	6100	59,841	22	25,9	90,7	14	1,935	9,2	0,153250	3930	9,2	
	18:47:17	2	3600,	16,	0,221	151	6100	59,841	24	25,9	90,7	14	2,111	8,9	0,148743	3930	8,9	
	18:47:18	2	3600,	17,	0,216	146	6100	59,841	26	25,9	90,7	14	2,287	8,9	0,148743	3928	8,9	
	18:47:19	2	3600,	18,	0,208	141	6100	59,841	28	25,9	90,7	14	2,463	8,9	0,148743	3929	8,9	
	18:47:20	2	3600,	19,	0,199	136	6100	59,841	30	25,9	90,7	14	2,639	8,6	0,144235	3930	8,6	
	18:47:21	2	3600,	20,	0,194	131	6100	59,841	32	26,1	90,7	14	2,815	8,6	0,144235	3930	8,6	
